time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
3.450000	5.985384	481.473663	0.216189	-6.697207	480.902283	0.195055
3.460000	6.205838	481.476379	0.216269	-6.611090	479.944641	0.194687
3.470000	6.064085	482.952911	0.216365	-6.978163	479.969391	0.194549
3.480000	6.215503	483.350159	0.216264	-6.769868	478.865143	0.194494
3.490000	5.975720	484.502716	0.216299	-6.681060	478.998901	0.194858
3.500000	5.990908	485.268555	0.216214	-6.378574	478.288544	0.195424
3.510000	5.917270	486.111359	0.216303	-6.090621	477.562531	0.196182
3.520000	5.936139	486.325836	0.216345	-5.440976	476.917206	0.197110
3.530000	6.181906	486.138214	0.216400	-4.459243	475.368805	0.197769
3.540000	5.850535	486.840271	0.216458	-4.435023	475.536377	0.198336
3.550000	6.115632	486.601746	0.216427	-3.731555	474.502808	0.198652
3.560000	5.928315	487.305634	0.216430	-3.606147	474.441528	0.198806
3.570000	6.005635	487.926758	0.216405	-3.525413	473.986572	0.198676
3.580000	6.123916	488.953979	0.216303	-3.550709	473.863647	0.198417
3.590000	6.009317	489.664093	0.216175	-3.903250	473.674622	0.197972
3.600000	5.814637	489.833801	0.215982	-4.106702	472.677887	0.197427
3.610000	5.569790	491.107117	0.215974	-4.585727	472.671417	0.197059
3.620000	5.509500	490.784912	0.215838	-4.620712	471.241638	0.196594
3.630000	5.358081	491.161407	0.215784	-5.077132	470.315094	0.196224
3.640000	5.349337	491.256042	0.215805	-4.909204	469.195740	0.196110
3.650000	5.338751	491.713745	0.215839	-4.881754	467.906586	0.196090
3.660000	5.279841	491.989105	0.215908	-4.843001	466.864624	0.196063
3.670000	5.471300	491.968903	0.215899	-4.443634	465.067291	0.196079
3.680000	5.277080	493.516510	0.216003	-4.680456	465.054657	0.196030
3.690000	5.364525	493.643768	0.215928	-4.525445	464.282745	0.195800
3.700000	5.271557	494.942688	0.215903	-4.459781	464.827789	0.195535
3.710000	5.242562	495.749359	0.215798	-4.386044	465.449371	0.195067
3.720000	5.196078	496.582855	0.215696	-4.542131	466.396515	0.194445
3.730000	5.172606	497.023956	0.215648	-4.806940	467.781769	0.193794
3.740000	5.347496	496.766632	0.215591	-4.984018	468.281067	0.192952
3.750000	5.208504	497.643219	0.215645	-5.791365	469.740997	0.192222
3.760000	5.526528	496.884888	0.215609	-5.979207	469.565002	0.191482
3.770000	5.538494	496.927551	0.215663	-6.412483	469.575592	0.190752
3.780000	5.620417	496.630859	0.215631	-6.628313	469.060059	0.190100
